,predicate,object
2282,HAS_ROUTE,8893
2283,ON_CONTINENT,17249
2284,HAS_ROUTE,9442
2285,IN_CITY,14677
2286,IN_COUNTRY,17031
2287,ON_CONTINENT,17248
2288,IN_REGION,15942
2289,ON_CONTINENT,17248
2290,IN_REGION,16102
2291,ON_CONTINENT,17248
2292,HAS_ROUTE,11264
2293,IN_REGION,16510
2294,HAS_ROUTE,8902
2295,IN_COUNTRY,17060
2296,HAS_ROUTE,11572
2297,ON_CONTINENT,17248
2298,HAS_ROUTE,11995
2299,HAS_ROUTE,8637
2300,IN_CITY,14780
2301,HAS_ROUTE,9279
2302,HAS_ROUTE,8694
2303,IN_COUNTRY,17229
2304,HAS_ROUTE,9452
2305,IN_COUNTRY,17118
2306,HAS_ROUTE,9125
2307,IN_COUNTRY,17057
2308,HAS_ROUTE,10611
2309,IN_REGION,15514
2310,HAS_ROUTE,9410
2311,HAS_ROUTE,9831
2312,IN_COUNTRY,17106
2313,HAS_ROUTE,8885
2314,HAS_ROUTE,8678
2315,HAS_ROUTE,9417
2316,HAS_ROUTE,8884
2317,IN_COUNTRY,17161
2318,IN_COUNTRY,17040
2319,IN_REGION,15885
2320,IN_CITY,14867
2321,HAS_ROUTE,8773
2322,HAS_ROUTE,8923
2323,HAS_ROUTE,8686
2324,HAS_ROUTE,8911
2325,IN_CITY,12328
2326,HAS_ROUTE,8804
2327,HAS_ROUTE,8728
2328,HAS_ROUTE,9450
2329,HAS_ROUTE,8637
2330,HAS_ROUTE,8710
2331,HAS_ROUTE,8938
2332,IN_REGION,16868
2333,HAS_ROUTE,11013
2334,IN_REGION,15541
2335,IN_REGION,15551
2336,HAS_ROUTE,8655
2337,HAS_ROUTE,11883
2338,HAS_ROUTE,8902
2339,HAS_ROUTE,8698
2340,IN_REGION,16760
2341,HAS_ROUTE,8680
2342,HAS_ROUTE,8804
2343,HAS_ROUTE,8830
2344,HAS_ROUTE,8673
2345,HAS_ROUTE,8683
2346,HAS_ROUTE,8765
